Iteration,Likelihood,noise_sigma_unoalseis0,r0,r1,r2,r3,r4,r5,K0,K1,K2,K3,K4,K5,x0,b0
10000,1294.77223212417,0.0118521901759461,0.0136138655436765,0.0103759911019632,0.0137498633205619,0.0104875769741002,0.0146330629771425,0.0122257315976562,0.57982591458648,0.484880470884544,0.556151809873409,0.408407729163122,0.540202847154351,0.359141110173319,0.00395504800073307,0.0732019932099665
10010,1295.15025089181,0.0118521901759461,0.0135336268540759,0.0103759911019632,0.0138107302376897,0.0104875769741002,0.0146330629771425,0.0122257315976562,0.57982591458648,0.484880470884544,0.556151809873409,0.411857805358706,0.540202847154351,0.358015120586133,0.0039912760384175,0.0732019932099665
10020,1294.55226011753,0.0118521901759461,0.0135336268540759,0.0103759911019632,0.0136904048645099,0.0104875769741002,0.0146330629771425,0.0122736848073835,0.579995785251725,0.474770712231571,0.556119633846243,0.411857805358706,0.540202847154351,0.358015120586133,0.0039912760384175,0.0730757425750111
10030,1292.30546024637,0.0116662123765067,0.0136440058244714,0.010238160322375,0.0136904048645099,0.0104875769741002,0.0146330629771425,0.0122736848073835,0.579995785251725,0.487531515710345,0.557743071573045,0.403487778847937,0.540202847154351,0.358015120586133,0.0039912760384175,0.0730757425750111
10040,1293.37571790394,0.0116444296491803,0.0136193353215098,0.010238160322375,0.0136904048645099,0.0104875769741002,0.0146451623529074,0.0123194878024373,0.576833403394069,0.493025948028132,0.560321318058242,0.403487778847937,0.540202847154351,0.358015120586133,0.0039912760384175,0.0730757425750111
10050,1292.49565355438,0.0116444296491803,0.0136193353215098,0.010238160322375,0.0136904048645099,0.0104875769741002,0.0146451623529074,0.0123194878024373,0.576536412029248,0.490405647566946,0.561906854481707,0.403487778847937,0.541802248988171,0.359004518618963,0.0039912760384175,0.0730757425750111
10060,1293.05704099847,0.0116444296491803,0.0136193353215098,0.010238160322375,0.0136904048645099,0.0104875769741002,0.0146451623529074,0.0123194878024373,0.576536412029248,0.492243652589497,0.560816705203049,0.408889606354615,0.541802248988171,0.359004518618963,0.0039912760384175,0.0730757425750111
10070,1294.70496844255,0.0116444296491803,0.0136193353215098,0.010238160322375,0.0136904048645099,0.0105179771715292,0.0146451623529074,0.0123194878024373,0.576536412029248,0.492243652589497,0.560937017203808,0.405383618940202,0.540222594413774,0.359004518618963,0.00402301017204765,0.0730858775411027
10080,1294.69566556628,0.0116444296491803,0.0136193353215098,0.010238160322375,0.0136904048645099,0.0105179771715292,0.0146451623529074,0.0123194878024373,0.576536412029248,0.492243652589497,0.560666211490838,0.403994171903171,0.540222594413774,0.359004518618963,0.00402301017204765,0.0730858775411027
10090,1294.05212681987,0.0118272394040332,0.0136297466520072,0.010238160322375,0.0136904048645099,0.0105179771715292,0.0146451623529074,0.0123194878024373,0.576412531871101,0.492085888312575,0.561610429414148,0.403994171903171,0.540222594413774,0.359004518618963,0.00402301017204765,0.0730858775411027
