Iteration,Likelihood,noise_sigma_unoalseisB0,r0,r1,r2,r3,r4,r5,K0,K1,K2,K3,K4,K5,x0,b0
10000,1198.8667396594,0.0148908176269617,0.0103791490200793,0.00728404999723422,0.0104742662140473,0.00783793122269513,0.0112080801781287,0.00918432551828816,0.626585880110013,0.595036526402305,0.606321284132899,0.4363078176578,0.575935330697086,0.406209836580797,0.0142990434754589,0.0451830825793486
10010,1197.86628814223,0.0148908176269617,0.0103791490200793,0.00728404999723422,0.010434995952997,0.00778339167363417,0.0112080801781287,0.00927237126721882,0.62757770542073,0.584732846025373,0.612033789666304,0.438852393971205,0.575094553813213,0.406209836580797,0.0142990434754589,0.0451830825793486
10020,1198.84207027497,0.0148908176269617,0.0103791490200793,0.00728404999723422,0.010434995952997,0.00778770464559712,0.0113033098485373,0.00927237126721882,0.62757770542073,0.584732846025373,0.612033789666304,0.438852393971205,0.575094553813213,0.403224609437668,0.0142990434754589,0.0451830825793486
10030,1198.49465944406,0.0148908176269617,0.0103581299159,0.00728404999723422,0.0104032801988841,0.00778770464559712,0.0113033098485373,0.00929766423096226,0.626350010837477,0.584732846025373,0.612033789666304,0.438852393971205,0.575094553813213,0.403224609437668,0.0141435609088028,0.0451830825793486
10040,1200.29094402632,0.0148908176269617,0.0104238555340567,0.00728404999723422,0.0104032801988841,0.00787126801794387,0.0113033098485373,0.00929766423096226,0.624984151210057,0.584732846025373,0.612033789666304,0.438852393971205,0.575094553813213,0.403224609437668,0.0140668857111236,0.0451830825793486
10050,1198.74510636612,0.0148908176269617,0.0103766118176886,0.00728555452230772,0.0103810449609747,0.00787126801794387,0.0113033098485373,0.00932871553353294,0.62682943972351,0.592637750366723,0.607314833378744,0.441860458167681,0.576040489652071,0.403755713259336,0.0140749175279046,0.0451830825793486
10060,1201.94166003116,0.0145909228306975,0.0103766118176886,0.00727835518814984,0.0105081664401533,0.00787126801794387,0.0113033098485373,0.00932871553353294,0.62682943972351,0.592637750366723,0.607314833378744,0.441860458167681,0.576040489652071,0.403755713259336,0.0140749175279046,0.0451830825793486
10070,1202.24205999115,0.0145909228306975,0.0103766118176886,0.00727835518814984,0.0105081664401533,0.00787126801794387,0.0112373904948975,0.00921882696260597,0.628790695974748,0.592637750366723,0.607314833378744,0.439693670900796,0.576040489652071,0.403755713259336,0.0140749175279046,0.0459892731129726
10080,1201.96985991075,0.0145909228306975,0.0103766118176886,0.00727835518814984,0.0105081664401533,0.00787126801794387,0.0112373904948975,0.00921882696260597,0.628790695974748,0.592637750366723,0.606847631628192,0.442239541484243,0.576040489652071,0.403755713259336,0.0140749175279046,0.0459892731129726
10090,1201.35364265011,0.0145448270088652,0.0104690571545144,0.00727835518814984,0.0105081664401533,0.00776848503402325,0.0112840214606049,0.0091917147486424,0.624575549916983,0.588177735938003,0.60257604181149,0.442239541484243,0.576080894948939,0.405482062048897,0.0140749175279046,0.0459892731129726
10100,1200.45309493488,0.0145448270088652,0.0104690571545144,0.00727835518814984,0.0105081664401533,0.00776848503402325,0.0112840214606049,0.0091917147486424,0.624575549916983,0.578545182679057,0.60257604181149,0.442239541484243,0.576080894948939,0.404254475163951,0.0140649503379384,0.0457929213270217
10110,1197.73838859219,0.0145448270088652,0.0104690571545144,0.00727835518814984,0.0105081664401533,0.00779772382948357,0.0112840214606049,0.0091917147486424,0.616469678531073,0.577584446649265,0.602668085790192,0.43934802707689,0.576080894948939,0.404254475163951,0.0140649503379384,0.0457929213270217
10120,1198.36877239611,0.0145448270088652,0.0104690571545144,0.00733682058861467,0.0105157639470788,0.00779772382948357,0.0112840214606049,0.00912510294948616,0.622405093742372,0.590853766419438,0.603543795075313,0.43934802707689,0.576080894948939,0.404254475163951,0.0141417580668185,0.0457929213270217
10130,1194.27252591549,0.0145448270088652,0.0104690571545144,0.00733682058861467,0.0105157639470788,0.00778749430796163,0.0112219757895922,0.00912510294948616,0.622405093742372,0.590853766419438,0.603543795075313,0.43934802707689,0.576080894948939,0.398656212302143,0.0141684676108894,0.045508957895881
10140,1192.64917397379,0.0145448270088652,0.0104690571545144,0.00733682058861467,0.0105157639470788,0.00778749430796163,0.0112219757895922,0.00913551826547904,0.624461140746133,0.590853766419438,0.603543795075313,0.43934802707689,0.576080894948939,0.398656212302143,0.0141684676108894,0.0475359739613137
