Iteration,Likelihood,noise_sigma_unoalseisC0,r0,r1,r2,r3,r4,r5,K0,K1,K2,K3,K4,K5,x0,b0
10000,1339.04562357637,0.0109531605501838,0.0129015639212736,0.00945202463224348,0.0130175346623655,0.0100084876694115,0.0140505651319963,0.0114337988681101,0.593170855703228,0.470415803359592,0.560204027482969,0.372270311747855,0.541864624106357,0.375893683236467,0.00533990155321543,0.0671379833495659
10010,1338.10029995055,0.0109531605501838,0.0129015639212736,0.00945202463224348,0.0130175346623655,0.0100084876694115,0.0140505651319963,0.0114337988681101,0.592329558624008,0.467797286377498,0.558610548182419,0.372270311747855,0.541864624106357,0.375893683236467,0.00534017299906265,0.0671228637058534
10020,1338.2593096982,0.0108239036546704,0.0129800017338514,0.00945202463224348,0.0130175346623655,0.0100171119153551,0.0139712892924327,0.0114662907846858,0.58929451872468,0.471615096601485,0.560559769860901,0.372270311747855,0.541864624106357,0.375893683236467,0.00534017299906265,0.0671228637058534
10030,1335.94786228472,0.0108239036546704,0.0129800017338514,0.00945202463224348,0.0129470540363505,0.0100171119153551,0.0139712892924327,0.0114662907846858,0.58929451872468,0.471615096601485,0.563476802334621,0.370554929832147,0.541864624106357,0.375893683236467,0.00531817273776381,0.0665648980913285
10040,1335.52177888298,0.0108809970174218,0.0129800017338514,0.00945202463224348,0.0129470540363505,0.0100171119153551,0.0139712892924327,0.0114662907846858,0.58929451872468,0.473807689704728,0.563395228233317,0.37131486645472,0.544896846351411,0.375893683236467,0.00531817273776381,0.0665648980913285
10050,1335.70750074136,0.0108809970174218,0.0129800017338514,0.00946471454151907,0.0129470540363505,0.0100116745975735,0.013986151260975,0.0114768820030582,0.589836035016435,0.473807689704728,0.561765885441391,0.372003072363777,0.544896846351411,0.373911667709437,0.00536799284465909,0.0663421004575535
10060,1335.08831445777,0.0108809970174218,0.0129800017338514,0.00946471454151907,0.0129470540363505,0.0100116745975735,0.013986151260975,0.0114768820030582,0.589358917555854,0.470559014718609,0.560636587320693,0.371437845819413,0.544896846351411,0.373911667709437,0.00536799284465909,0.0663421004575535
10070,1334.42484548697,0.0107466613359122,0.0129800017338514,0.00941479947223293,0.0130099385059174,0.00999230912658693,0.013864620407936,0.0114768820030582,0.589358917555854,0.470559014718609,0.560636587320693,0.371437845819413,0.544896846351411,0.370054679286779,0.00544379090607148,0.0663421004575535
10080,1335.38976419603,0.0107466613359122,0.0129800017338514,0.00941479947223293,0.0130099385059174,0.00999230912658693,0.013864620407936,0.0114748322673939,0.589358917555854,0.472534252469944,0.561399861517435,0.372731729375096,0.544896846351411,0.370054679286779,0.00542039049187244,0.0663421004575535
10090,1336.49022659031,0.0107466613359122,0.0129462668255782,0.00944379898140462,0.0130099385059174,0.00999230912658693,0.013864620407936,0.0114748322673939,0.589358917555854,0.472534252469944,0.561399861517435,0.372731729375096,0.544896846351411,0.370054679286779,0.00542039049187244,0.0663421004575535
